Variable,Bin,WOE,Coefficient,Score Contribution
checking_status,0<=X<200,-0.4013917827205285,-0.7963772982828383,25
checking_status,<0,-0.8180987056949414,-0.7963772982828383,15
checking_status,>=200,0.4054651081081644,-0.7963772982828383,43
checking_status,no checking,1.176263222898176,-0.7963772982828383,61
credit_history,all paid,-1.1349799328389847,-0.6905405914205726,11
credit_history,critical/other existing credit,0.733740577525199,-0.6905405914205726,49
credit_history,delayed previously,-0.08515780834030683,-0.6905405914205726,32
credit_history,existing paid,-0.08831861697739624,-0.6905405914205726,32
credit_history,no credits/all paid,-1.3581234841531942,-0.6905405914205726,7
duration,"(12.0, 15.0]",0.6652902260569791,-0.7630086250405478,49
duration,"(15.0, 24.0]",-0.10056643369315202,-0.7630086250405478,32
duration,"(24.0, 30.0]",-0.15415067982725836,-0.7630086250405478,31
duration,"(3.999, 12.0]",0.46741569696970287,-0.7630086250405478,44
duration,"(30.0, 72.0]",-0.7663287978535366,-0.7630086250405478,17
savings_status,100<=X<500,-0.1395518804061056,-0.7334899666105684,31
savings_status,500<=X<1000,0.7060505853958533,-0.7334899666105684,49
savings_status,<100,-0.2713578444628324,-0.7334899666105684,28
savings_status,>=1000,1.0986122886681098,-0.7334899666105684,57
savings_status,no known savings,0.7042460736279941,-0.7334899666105684,49
purpose,domestic appliance,-0.15415067982725836,-0.9388239437792273,30
purpose,new car,-0.359200487698769,-0.9388239437792273,24
purpose,used car,0.7738360918100882,-0.9388239437792273,55
purpose,business,-0.23052365861183224,-0.9388239437792273,28
purpose,education,-0.6061358035703156,-0.9388239437792273,18
purpose,furniture/equipment,-0.0955565155612054,-0.9388239437792273,32
purpose,other,-0.5108256237659907,-0.9388239437792273,20
purpose,radio/tv,0.41006281735679384,-0.9388239437792273,45
purpose,repairs,-0.2876820724517809,-0.9388239437792273,26
purpose,retraining,1.2321436812926323,-0.9388239437792273,67
property_magnitude,life insurance,-0.028573372444056,-0.32297217058329286,34
property_magnitude,no known property,-0.5860823611235859,-0.32297217058329286,29
property_magnitude,real estate,0.46103495926297494,-0.32297217058329286,38
property_magnitude,car,-0.034191364748279426,-0.32297217058329286,34
credit_amount,"(1262.0, 1906.8]",0.29878096551982986,-0.6276603103541101,40
credit_amount,"(1906.8, 2852.4]",0.14732471475685852,-0.6276603103541101,37
credit_amount,"(249.999, 1262.0]",-0.016529301951210582,-0.6276603103541101,34
credit_amount,"(2852.4, 4720.0]",0.1986706947954842,-0.6276603103541101,38
credit_amount,"(4720.0, 18424.0]",-0.5450169885142699,-0.6276603103541101,24
employment,1<=X<4,-0.03210324538441743,-0.5844491316772463,34
employment,4<=X<7,0.39441527192157944,-0.5844491316772463,41
employment,<1,-0.4708202891522916,-0.5844491316772463,26
employment,>=7,0.2355660713127669,-0.5844491316772463,38
employment,unemployed,-0.3192304301867068,-0.5844491316772463,29
housing,for free,-0.4726044109457929,-0.39412826703232057,29
housing,own,0.19415601444095756,-0.39412826703232057,36
housing,rent,-0.4044452202074189,-0.39412826703232057,30
age,"(18.999, 26.0]",-0.40698602094887104,-0.7019844925349846,26
age,"(26.0, 30.0]",-0.07410797215372185,-0.7019844925349846,33
age,"(30.0, 36.0]",0.20252426411147392,-0.7019844925349846,38
age,"(36.0, 45.0]",0.18813552665937455,-0.7019844925349846,38
age,"(45.0, 75.0]",0.23702847103342942,-0.7019844925349846,39
other_payment_plans,bank,-0.4836298809575007,-0.7042364230405166,24
other_payment_plans,none,0.12117862465752169,-0.7042364230405166,37
other_payment_plans,stores,-0.4595323293784402,-0.7042364230405166,25
personal_status,female div/dep/mar,-0.23534083455727162,-0.8363029715729655,28
personal_status,male div/sep,-0.4418327522790392,-0.8363029715729655,23
personal_status,male mar/wid,0.1385189341355617,-0.8363029715729655,37
personal_status,male single,0.165547606523481,-0.8363029715729655,38
foreign_worker,no,1.262915339959386,-0.8112254499633917,64
foreign_worker,yes,-0.03486726879564034,-0.8112254499633917,33
other_parties,co applicant,-0.6021754023542187,-0.8847100814748979,19
other_parties,guarantor,0.5877866649021191,-0.8847100814748979,49
other_parties,none,0.0005250722094907142,-0.8847100814748979,34
installment_commitment,"(0.999, 2.0]",0.1904727690246609,-1.4029270398094351,42
installment_commitment,"(2.0, 3.0]",0.06453852113757116,-1.4029270398094351,37
installment_commitment,"(3.0, 4.0]",-0.15730028873015464,-1.4029270398094351,28
